fund_name,aic,shapiro_p,ljungbox_p,runs_p,pass_all
Edmond de Rothschild Prifund Alpha Volatility Cl. A (USD),372.3925211634977,0.004266570522993301,0.9873427164444039,0.5464731290798559,False
Edmond de Rothschild Prifund Alpha Volatility Cl. B (EUR),374.6523372178642,0.0007727066629600064,0.7870568982663704,0.5464731290798559,False
Edmond de Rothschild Prifund Alpha Volatility Cl. B (USD),371.46108330413233,0.005575737179669187,0.9843083121627365,0.5464731290798559,False
EnTrustPermal Absolute Return Fund USD B,350.6301937075176,0.07119682713148581,0.5014816703055749,0.31485395233775604,True
EnTrustPermal Fixed Income Holdings N.V. USD A,336.1586631533568,0.40847292851235495,0.9523521123511564,0.10780396285509863,True
EnTrustPermal Investment Holdings N.V. EUR A,413.48570694079905,0.05519261771630318,0.9780184166104156,0.2277762709715887,True
EnTrustPermal Investment Holdings N.V. USD A,412.95276779040717,0.016265240868498978,0.9341108687157316,0.421355814012109,False
EnTrustPermal Japan Holdings N.V. USD A,432.8325569148801,0.24165041701826828,0.790183808697648,0.2277762709715887,True
EnTrustPermal Macro Holdings Ltd. EUR A,338.48539534658215,0.13745564469492055,0.8356136899020038,0.6876577997456863,True
EnTrustPermal Macro Holdings Ltd. USD A,375.6801472792471,1.226300952293432e-05,0.47661260245952464,0.6876577997456863,False
European Capital Holdings,282.64357348378945,0.018558672064119146,0.6398598529224786,1.0,False
"European Selection Holdings S.A., SICAV-FIAR",400.40128966418666,0.008489262112493528,0.7876398901251302,0.6876577997456863,False
GAM Composite AR CHF - Open,352.23454124425655,0.3616288719705021,0.7068851738998075,0.6876577997456863,True
GAM Composite AR EUR - Open,349.36821692053326,0.3506969535863358,0.4574915527603979,0.6876577997456863,True
GAM Composite AR GBP - Open,351.11834528796254,0.27145423434832183,0.6168247414846925,0.7586241101414932,True
GAM Diversity CHF Open,282.94616769868645,0.01334959865908643,0.6068912143316112,0.04441233364526065,False
GAM Diversity EUR Open,281.8332920402496,0.017589372139919592,0.9383410267775638,0.10780396285509863,False
GAM Diversity GBP Open,271.6361739709781,0.004393013992480379,0.6960159451499452,0.6876577997456863,False
GAM Diversity SGD Open,284.04628934746074,0.011376845237991305,0.6614288799398117,0.04441233364526065,False
GAM Diversity USD Open,286.67825477847964,0.012262018639069784,0.6170752653886451,0.04441233364526065,False
GAM Trading II - CHF Open,341.2698952693891,0.41177449755110174,0.9294390106728858,0.6876577997456863,True
GAMAG Black & White Certificate,446.43312222242224,0.001220424455956885,0.8937572409803557,1.0,False
Gems Low Volatility Portfolio CHF,354.4351030506201,0.5393900506360239,0.7669842738552756,0.8406846414712399,True
Gems Low Volatility Portfolio EUR,359.63933278054805,0.34391967654908995,0.5518773436109602,0.8406846414712399,True
Gems Low Volatility Portfolio GBP,359.2957144208562,0.4516982101293425,0.5525808329773876,0.8406846414712399,True
Gems Low Volatility Portfolio USD (Regular),359.2792588042416,0.38325498151245974,0.5854402192244175,0.8406846414712399,True
Gems Recovery Portfolio EUR,331.9015004460806,0.10649385452271876,0.9936072664601406,0.6876577997456863,True
Gems Recovery Portfolio USD,333.2951503870153,0.13045285976087545,0.998149070359373,1.0,True
Hatteras Core Alternatives Fund L.P.,309.15534530494375,0.19001356363325506,0.5545184185353268,0.027022267193961058,False
Hatteras Core Alternatives Institutional Fund L.P.,302.562984832596,0.16116291565419222,0.588620311679757,0.07042609327631655,True
Hatteras Core Alternatives TEI Fund L.P.,307.27039924769707,0.21368737337913218,0.5616315732751939,0.027022267193961058,False
Hatteras Core Alternatives TEI Institutional Fund L.P.,300.2244091608458,0.13071387428656345,0.5401610032774575,0.07042609327631655,True
Haussmann Class A USD,411.528669033974,0.10860414818779784,0.9085791412982238,1.0,True
Hurdle EURO Feeder,278.54925227070396,0.0036769085929286268,0.5653536381356361,0.47423690911626437,False
Hurdle Fund,317.5343401121544,0.4552330962073662,0.7451826010702345,0.4166079797081017,True
Hurdle GBP Feeder,319.7079346386175,0.08657860978388641,0.9826612124972158,0.5464731290798559,True
"ICMC Strategic Asset Fund, L.P.",368.8310515152161,0.002465497394991891,0.9530447149584547,0.014811305310210576,False
"IL Hedge Investments, LLC",294.78251130100597,0.0985457886061655,0.9774441736425201,0.31485395233775604,True
J.P. Morgan Multi-Strategy Fund II Ltd - Series A (USD),286.52310819444637,0.400220978357868,0.4839387499008794,0.8406846414712399,True
J.P. Morgan Multi-Strategy Fund II Ltd - Series B (GBP),287.302963683971,0.2944665158320685,0.637441362406394,0.8406846414712399,True
J.P. Morgan Multi-Strategy Fund II Ltd - Series B (USD),285.38889483544125,0.4067876693682077,0.5122327680588299,0.8406846414712399,True
J.P. Morgan Multi-Strategy Fund II Ltd - Series CA (GBP),278.8470352368014,0.4327046292351474,0.6152328801188948,0.5464731290798559,True
J.P. Morgan Multi-Strategy Fund II Ltd - Series CA (JPY),277.28128957258974,0.762434685301832,0.49048146500650114,0.8406846414712399,True
J.P. Morgan Multi-Strategy Fund II Ltd - Series CN (NZD),275.7841459626267,0.2114870046377212,0.657702553291673,0.31485395233775604,True
"Lighthouse Credit Opportunities Fund, LP Class B",342.3694334687903,0.0616062319570167,0.9358509899090416,0.5464731290798559,True
