fund_name,type,order,aic,residuals
ACPI Balanced UCITS Fund USD R,Fund of Funds,"(0, 0, 0)",445.77830196816234,"[-6.9774 -1.4574  2.5426 -2.0274  4.9826  1.1326 -2.0374  2.6326  0.4426
  1.3426 -0.6474  3.3526 -0.7274 -1.5774 -0.4674 -4.1974 -5.6074  5.0426
 -4.5174  0.9426  1.7526  2.9326  0.2326 -0.4674 -4.4674  2.0726  1.5826
  0.2326  1.0926 -0.2974  0.9026  1.1326  3.1826  0.0126 -0.3074  1.4126
 -0.3874 -1.8474  1.3226 -1.4674  1.6226  1.5826  0.1226  0.4226 -2.7374
  2.3826 -0.4674  0.0326  0.9126 -0.0374 -0.9674 -0.3274 -1.6074 -0.3274
  1.8426 -1.4574 -0.7474  2.3926 -1.7174  2.0626 -0.3974 -2.7274  0.3726
 -4.6374 -2.7874  4.8026 -1.3874 -1.7674 -4.6474  0.1326  4.4026  1.3926
 -1.0274 -1.2474  2.3726  0.3626 -0.8074 -2.1874 -0.6774  0.9326  1.7426
  1.9626  0.8526  1.6126  1.2526 -0.3374  1.2226 -0.6474  0.3926  0.3226
  0.3326  0.9226  3.5026 -3.3874 -1.9074  0.7326 -0.8274 -1.4274  0.4426
 -1.0074]"
"ICMC Strategic Asset Fund, L.P.",Fund of Funds,"(0, 0, 0)",445.99902181623185,"[-3.92 -2.88  1.16 -1.2   5.62  1.7  -2.36  3.59  0.16  2.37 -0.56  0.81
 -3.18 -1.79 -1.13 -7.04 -5.93  5.26 -2.67 -0.98  2.54  2.56  1.77 -0.4
 -2.06  1.62 -0.18  1.2   2.43 -2.1   0.77  1.24  2.17  0.31  2.09 -0.14
  1.46 -0.59  3.69 -0.29  3.04  0.11 -0.81  1.69 -2.21  3.66 -2.65 -2.54
  0.85  1.11  1.34  2.22 -1.19  1.25  1.6   0.   -2.32  3.77  1.16 -0.62
  2.4   0.02 -0.88 -2.87 -3.26  1.39  1.22 -0.95 -3.96 -1.63  1.68  1.13
  0.92 -1.53  1.83  0.15  0.01 -1.78  3.9   1.64  1.25  1.3  -1.94  0.97
 -1.16  2.37  0.67  0.32  2.87 -1.52  0.67  1.17  1.67 -3.47  1.26 -1.34
  1.95 -0.74 -1.17  1.1 ]"
GAMAG Black & White Certificate,Fund of Funds,"(0, 0, 1)",446.43312222242224,"[-1.66        2.81480869  0.22811214  0.02688167  1.73018752  1.22828849
  1.58152345  0.96254676  0.12855023  0.26306311  0.03394911 -1.90239566
 -0.41538795  0.18166849 -1.03633169 -4.08160948 -5.4297027   5.75251972
 -3.52038825  1.97538145  3.53873902  0.81791823 -1.16864232  0.26670042
 -4.36737897  3.19463886 -0.75644223  0.9161959   0.37547405  1.29290507
  1.01792815  0.03832907  0.8760051  -0.25985128  1.17487818 -1.38897729
  2.31715021 -2.33604927  1.29294978  0.36791183  1.03566623  1.15185246
  0.05942997  0.02830064  0.12966673  1.32265545  0.36706555  0.72597522
  0.39492836  0.93580182 -0.02168456  0.58791757 -0.20466335 -2.65527231
 -0.19049393 -2.83044592  1.10346632  3.14709696 -2.0590835   2.08182268
 -1.50012532 -1.90226687 -5.28543498 -3.98015602 -3.42674588  4.88119029
 -3.12224417 -7.16999087 -4.94205772  2.23446839  5.79413993  1.39441517
  2.59086428 -0.49598909  1.50109797  1.33191173  0.28368585  0.11641923
  0.57749244  0.82914312  1.03725919  2.05127083 -0.66897008  0.33425764
 -1.54204579  0.06303933  0.45698277 -0.51685579  2.08871693 -1.38264258
  0.09483725 -0.01462744  0.09534084 -3.54481132  1.62429892  0.106928
  0.02095792 -1.10765226  1.66443143 -2.36772538]"
Touchstone Dynamic Equity Fund A,Hedge Fund,"(1, 0, 1)",448.88450205905093,"[-5.12043934 -4.46315938  4.26744763 -4.04822384  3.04571862  2.47066082
  0.49386054  2.32099067  3.60162159  1.75577318  1.39228117  2.44569443
  0.63722194  0.64877427 -2.09740255 -4.66938316 -5.91767238  7.42390978
 -0.05216894  0.21428125  1.06268896  3.00041303  2.19863117 -1.00217172
 -2.01901718  2.40706628  0.7598797   0.32372131  0.50440761 -1.81173061
 -2.13266448 -0.9981056   1.32552942  0.12969912  2.97938785  0.8576716
  1.82868098  0.1731668   1.67992797 -1.88617961 -0.24102103  1.80351811
  2.83834525  2.03139549 -2.81071792  3.02806493  1.36993851  1.33746984
  1.71919162 -1.11218588 -0.75133298  2.89285614 -2.22432041 -2.8683913
 -0.88139452  0.17040852 -0.93153467  1.20662551 -0.82712793 -1.42279582
 -0.19739668 -2.61819132  1.67640604 -5.12500622 -0.61385255  3.73346998
  0.69742902 -0.67705394 -4.26915042 -1.35632447  1.15087497 -0.34531924
  0.93309727 -0.72177497 -1.33786346 -1.70023061 -0.76188577 -1.9489964
  2.51855914  0.40408227 -1.42539141 -0.22318365 -0.52074824 -0.9595591
 -0.80449287 -1.17955253 -0.03570497 -0.1441744   0.8313769  -0.46359315
  0.58334174  1.02391275  2.14363154 -2.91269836 -1.59370388 -1.60269914
 -0.70700561 -0.33124302  0.27883944 -0.0873317 ]"
Spinnaker Global Opportunity Fund Ltd. Class L,Hedge Fund,"(0, 0, 0)",450.08663825578174,"[-3.34  0.42  2.26  0.78  4.1   1.47  0.46  2.   -2.6  -0.42  2.69  1.8
 -0.72 -1.1   0.03 -3.74 -8.18  3.54 -2.85 -0.41  4.5   2.06 -0.33  0.74
 -4.7   0.93  1.27  2.05  1.79  1.19  1.68  2.26  2.11 -0.8  -0.2   1.4
  0.1  -1.5  -1.4  -1.6   0.6   1.1  -0.1   1.3  -2.07  3.58  0.95  0.36
  1.7   0.67  0.61  1.03  0.5   0.01  1.3  -2.04  4.    0.3   0.3  -3.1
 -1.3  -5.6   1.45 -0.34  0.73 -1.5   2.8   0.2  -1.1  -2.1   0.9   1.3
 -3.6   2.8   0.7   2.2  -0.36  0.27 -2.17  2.93 -0.2   3.9   1.5  -0.49
 -1.9   0.6   3.1   1.4  -0.4  -2.8   1.3   0.71  4.37 -4.53 -0.45 -3.92
 -4.52 -0.75 -1.17 -1.69]"
"Pinnacle Natural Resources, L.P.",Fund of Funds,"(0, 0, 0)",450.24473460881205,"[-4.67 -4.   -0.55  5.02  3.19  3.49 -0.44  3.54 -0.58  3.92 -0.33  1.16
 -4.42 -3.33  0.84 -1.11  5.81 -2.33  1.44  2.03  2.05  1.32 -0.23 -0.6
  0.78 -0.79  0.15  2.38 -2.62  0.63 -0.22  0.25 -0.09  0.9   1.37  0.16
 -0.74  1.34  0.83 -0.26 -0.71 -0.88 -0.74 -0.07  3.42  0.75 -2.7   0.72
 -1.54 -0.28 -1.45 -1.92  1.37  2.44 -0.09  9.42  0.83 -1.76  0.   -2.62
 -1.03 -2.23  1.03  0.7   0.81  1.38  0.01  1.    0.2  -0.72 -0.96 -0.78
  0.08 -1.56 -2.14  0.4   0.06  0.4  -0.15  3.39 -5.35 -5.13  2.34  0.05
 -2.03 -1.04  0.31  1.32  1.26  0.39  1.03  0.95  2.81 -2.41  2.83  4.23
  2.89 -2.33 -1.85  0.7 ]"
Reichmuth Hochalpin CHF,Hedge Fund,"(0, 0, 0)",451.9693743894499,"[-2.2  -4.1   0.52 -2.    4.49  3.38  0.35  2.1  -1.1   1.4   0.7   1.
 -4.   -2.6  -3.2  -1.5  -2.8   4.2   0.7  -1.3   2.9   2.3  -1.7  -1.1
 -1.8   1.    3.7   0.8   2.3  -1.3   0.2  -1.1   2.3   0.    2.   -2.1
  0.2  -6.5   1.4   1.4  -0.6   3.   -1.3  -0.9   0.    2.    0.6   0.
  1.5   2.    1.2   1.2  -0.6  -3.    1.5   0.2  -3.1   6.2   0.5   0.1
  0.6  -3.8   1.5  -5.1  -3.5   7.    1.1  -3.5  -2.4  -1.6   1.9   4.
  1.1   0.6   2.4   1.   -0.2  -1.2  -0.6   1.4   1.    2.4   0.8   0.7
  0.1  -1.1   2.4   0.2   0.9   1.4  -0.4   1.1   1.1  -2.5  -1.    3.1
 -0.4  -0.5   1.1  -3.3 ]"
Spinnaker Global Emerging Markets Fund Ltd. Class K,Hedge Fund,"(0, 0, 0)",452.9534774863843,"[-4.2944 -0.1044  2.5256  0.2556  3.4456  1.1056 -0.4644  1.4256 -2.1244
 -0.1744  1.8656  1.4456 -0.6044 -1.3944  0.1756 -3.2044 -8.0744  3.0456
 -3.0944 -2.0744  4.0756  2.0056 -0.2344  0.8856 -4.8144  0.4856  0.2956
  4.3056  0.8456  1.2056  2.7956  2.4356  2.2356 -0.9144 -1.4544  0.4856
  0.0756 -3.6544 -0.3744 -1.2944  1.9656  1.6056 -0.4144  0.2856 -4.0044
  4.1456  0.8156 -0.4344  1.4556  0.9856 -0.6944 -0.0344 -1.8044 -2.3944
 -0.7244 -2.4644  0.3856  3.0856 -0.2144  0.8156 -1.2444 -8.7144  4.1556
  1.4456  1.7056  1.7956  3.4856 -4.0444 -3.0144  0.2856  2.7656  2.2856
  0.0856 -0.2144  0.3856  0.6056 -0.2444  0.1656  1.3056  1.0556 -0.4144
  0.9856  0.2856  0.9856 -0.5144  0.5856  0.5856  0.7856 -0.3144  0.5856
  1.3856  1.5056  1.3156 -2.7444 -0.9944 -1.1744 -3.2844 -1.6244 -1.0744
 -2.3544]"
WaveStone Capital Absolute Return Fund,Hedge Fund,"(0, 0, 2)",453.154215003527,"[-7.40829702 -2.94952891  3.67358684 -1.50864954  2.0525699   1.53506728
 -2.11431529  1.47299279  0.43596975 -0.49742987  0.38532258  0.50294199
 -2.29023547 -1.68850671 -1.70518122 -0.74102039 -5.15348683  2.07598216
 -2.35249844 -0.35074444  3.43900644  1.20973201  0.6430824  -0.51878842
 -6.45067205  0.42457419  3.44243161  2.23431721  0.96083281  1.20474378
  1.23120433  1.52166966  2.73411304  3.49912765 -1.91060127  2.113535
 -0.52511923 -2.54833053  2.42477447  2.06021307  1.28538178  1.47047865
 -0.95736069 -0.14978232 -2.42217482  3.94182717  0.28963181 -1.36243884
 -0.10386979 -2.10294726  0.45687048  0.82354734 -2.83240277  1.76024313
 -0.22470402  0.88881426  1.2522148   3.37788843 -0.93088889 -1.94099349
  1.07512545 -2.14442339  1.90254671 -3.49554361 -1.36306799  4.36668485
  1.45612972 -1.23152528 -4.96672142 -3.24088324  2.41565884  0.3730536
  3.35531797 -3.96532206  2.38643115 -0.75385687  0.53184923 -2.79608732
  0.71867184  0.72769826 -1.38839131  1.67635832  2.08037262  0.34168904
 -3.16944646 -0.64257107 -0.3339559  -0.46672301  0.05686513  3.35727685
 -0.41770566  0.42901543 -0.88222434  0.67402942 -2.17035517  1.79566861
  2.00909077  1.29353688 -1.11590073  0.85035735]"
Taiga Fund A EUR,Hedge Fund,"(3, 0, 2)",453.21470411955005,"[-8.62411264 -3.86073507  4.11090789  0.96716023  1.55753645  3.51390827
 -0.38892729  3.81342066  1.2627512   0.41296365 -0.92769934 -1.04010884
  1.8344468  -2.47776164 -2.04126868 -4.58752411 -3.60373394  4.74486065
 -1.40214205 -1.14115517  3.68982036  4.52209129 -3.85615322  1.2854173
 -4.2182049   1.7089732  -0.94409212 -0.09611088 -0.06894371  0.40920518
 -1.47578751  1.27785182  1.80207288  1.90026757 -3.82311177  0.3024261
  0.36040879  0.17729907 -1.83614724  2.33277283  1.11911095  1.38285388
 -0.33150433  0.22140112 -1.27882469  2.44519351  1.96387404  0.75111993
  1.45452309 -0.82524851 -2.06212746  0.38428672  0.69897533  3.76244114
  1.12028189  1.5002998  -0.19223665  2.93185301  1.78755637 -1.66737126
 -0.53293165 -1.58215664  1.87748861 -1.16227644  0.78263167 -2.03249806
  0.66754894  2.31514261 -3.80155828  2.34776155  0.66736716 -0.66107714
  0.62200049  0.36706315  2.75002446 -1.09361484  0.97873172  0.53579416
  0.66543059 -2.18164437  2.0381281   0.01842572 -2.37564129  1.40065783
  0.07843214 -0.79646606 -1.6889008  -2.60213006  0.83490809 -2.01722763
 -1.63464911  1.03134809 -2.43311561  0.57616667 -0.60224406  2.93225696
  0.86843424 -2.54001437 -1.53536948 -0.10833656]"
Voya CBRE Long/Short Fund Class I,Hedge Fund,"(0, 0, 1)",458.7801991233693,"[-3.61       -5.07163997  2.01997843 -1.18119624  0.84018086  2.44924378
  1.51506633  2.81912566  0.62076954  2.98026911 -0.84060608  3.29068068
  1.79453323 -1.05123181  1.32326662 -1.23494428 -3.56936676  3.23596294
 -0.38518644  1.87157821  1.43245391 -0.63554902  1.98710557  2.99297537
 -3.84834903 -1.38359349  0.05422824  0.00963272 -1.39828891  0.26161785
 -0.45352806  2.36943849  2.21089029  0.29272691  1.12199794  3.76930377
 -2.96044755 -2.16587296 -0.58473035 -4.35386736  2.87660981  3.61098061
 -3.42857095  1.33097291  0.74642461  3.35258959  0.59553029  1.17578579
  3.40885827  2.28552546 -0.88401543  1.16296975 -5.76341828  5.13622716
  1.92236305  2.33147497  2.56414672  0.71547688 -0.13290775 -1.95360879
 -1.41702524 -4.14171034  2.55429588 -4.82627295  0.49269502  4.54751886
  0.35778907  0.75355512 -3.9861438  -1.62807038  4.3608011   1.16462185
 -0.18312481  2.537471    2.4707384  -0.88111551 -1.78651513 -3.23734391
 -0.77505887  1.06232403  0.28870372  0.77128329 -1.89299469 -0.95625818
 -0.06986294  1.13759004  0.41207345  0.28319781 -0.76969474  0.58327687
  2.98360918  2.38998722  1.11454042 -4.19202093 -1.05464094  0.53266105
 -2.24538186  2.72114625  0.78336517  1.64915145]"
Albatross Worldwide Equity Fund EUR,Fund of Funds,"(0, 0, 0)",461.9343335725456,"[-4.6031 -2.2031  0.7469  0.2769  3.3369  0.4769 -1.4431  4.5169 -1.4831
  0.9369  0.3169  1.1369 -1.0531 -2.1331 -0.6631 -6.4331 -2.6231  1.6069
 -1.4231 -1.0831  1.7869  1.5269  1.0869 -0.2131 -2.0731  0.2769  0.7369
 -0.1331 -0.9331 -2.4331 -0.5031 -2.1331  1.0069  0.3369  1.0969 -0.3931
  2.5969 -1.7331  3.0669 -0.9331  1.2169  0.9969  1.4369  1.9269 -0.5431
  2.8569 -5.6331 -5.0831  0.5969  2.5069 -1.3131  3.5369  0.6169 -1.3531
  3.0569 -0.2531 -0.6731  5.3269  1.0269 -0.2431  3.6169 -0.8731  2.1869
 -2.8631 -4.8531  1.6269  0.8569 -0.6731 -9.3431 -3.2231  2.3869 -1.4731
  2.2969 -3.7931  1.9469  0.1269  2.3769 -3.0831  3.7269 -1.5331  1.0669
  0.7169 -0.7431  1.3669 -0.4131  0.5269  1.1269 -0.4531  1.4869  2.3969
  0.4869  0.9069  2.9669 -1.4431 -2.6831 -0.7931  3.4369 -0.4331 -0.6731
  1.4569]"
Visio IV Fund,Hedge Fund,"(1, 0, 1)",462.5077972601672,"[-2.43000000e+00 -7.67601743e-01  1.84044013e+00  9.54753310e-02
  3.41512569e+00  2.59507337e+00 -7.17819797e-01  4.69591864e+00
 -2.50427195e+00  2.01118013e+00  3.66528868e-01  1.55357068e+00
 -2.56154576e-01  3.28137462e-01 -1.09009525e+00 -1.77202482e+00
 -1.17015545e+00  2.31743330e+00  8.64345286e-01  3.07815917e+00
  3.30181341e+00  3.39812287e+00  8.63506976e-01  1.07144182e-01
 -2.85157721e+00  2.22336227e+00  2.11941140e+00  6.52492939e-01
  2.37900621e-01  6.23515810e-01  6.34115772e-04  1.21774293e+00
  1.37663381e+00  6.28780853e-01  1.31732412e+00 -9.26516359e-01
  2.63664608e+00 -3.76975657e+00  1.82834902e+00  5.87279523e-02
  1.07381606e+00  1.64080380e+00  3.81675014e-01 -7.17117209e-01
 -4.36420641e+00  5.59380698e-01 -2.52513466e-01  9.73980947e-01
  1.24235879e+00 -4.01325748e-01  3.32991496e-01  1.32214808e-01
 -3.15911407e+00  3.04013784e-01 -6.98329105e-01  4.46443427e-01
 -3.63313104e-01  3.56512262e+00 -7.91384754e-01  1.05934378e+00
 -2.07768890e+00 -3.36681081e+00  2.90267995e+00 -2.22505297e+00
 -3.70988459e+00  3.97300549e+00 -9.07879233e-01 -4.55655416e+00
 -6.93484759e+00 -8.05315121e-01  6.93086008e+00  7.03306032e-01
 -2.12633102e+00  1.17735106e+00  2.12419528e+00 -3.72488546e-01
  4.14966722e+00 -3.44080162e+00 -9.71750757e-01  7.78517881e-01
 -3.54222533e-01  1.66676233e+00 -2.60746474e+00 -1.41981443e+00
  2.99060223e-02 -2.17960946e+00 -1.10543363e+00 -2.35345898e+00
 -1.65380209e+00  3.80113707e+00 -1.17122562e+00 -1.19709303e+00
  5.04732519e+00  6.04774154e+00 -6.84685543e-01 -2.71629697e+00
 -1.81321753e+00 -2.30480448e+00  5.05163802e-01 -3.41863350e+00]"
AllianzGI Global Allocation Fund Class A,Fund of Funds,"(0, 0, 0)",462.62063232276915,"[-5.8724e+00 -2.5524e+00  4.8276e+00 -2.1924e+00  5.7976e+00  2.7276e+00
 -1.0324e+00  1.7976e+00  9.2760e-01  1.9076e+00 -1.0240e-01  2.3876e+00
 -1.6724e+00 -2.1324e+00 -1.0824e+00 -5.6824e+00 -8.7424e+00  7.7176e+00
 -1.5224e+00 -1.9224e+00  3.8676e+00  2.2776e+00 -1.0224e+00 -2.8240e-01
 -5.0024e+00  1.8676e+00  1.0576e+00  1.2176e+00  1.1076e+00 -5.5240e-01
  3.5760e-01 -6.4240e-01  2.2576e+00 -1.0240e-01 -2.2400e-02  1.0276e+00
 -1.4124e+00 -3.2624e+00  2.3276e+00 -2.0424e+00  2.4776e+00  2.0576e+00
  3.8760e-01 -3.2400e-02 -2.4624e+00  2.7076e+00  3.5760e-01  2.0760e-01
  1.1176e+00  1.0476e+00 -1.5024e+00  1.1776e+00 -3.0924e+00  2.8760e-01
 -1.2240e-01 -2.3024e+00 -4.6240e-01  2.9176e+00 -7.2240e-01  6.4760e-01
  1.2760e-01 -2.5824e+00 -3.2400e-02 -4.9024e+00 -1.8024e+00  3.4576e+00
 -7.2240e-01 -1.9424e+00 -2.7824e+00 -2.8240e-01  3.3976e+00 -2.8240e-01
 -2.4000e-03  2.6760e-01  1.6276e+00 -4.6240e-01 -1.9240e-01 -1.9724e+00
 -1.4624e+00  1.2676e+00  1.5376e+00  1.8576e+00  4.1760e-01  9.3760e-01
  1.2576e+00  9.7600e-02  1.6476e+00  5.3760e-01  7.5760e-01  1.0076e+00
  5.8760e-01  6.0760e-01  3.0776e+00 -4.2924e+00 -1.2724e+00 -8.1240e-01
 -5.5240e-01 -1.4224e+00  1.6776e+00  3.2760e-01]"
UMJ Kotoshiro Fund USD,Hedge Fund,"(0, 0, 0)",463.17979405188044,"[-2.0014e+00 -4.1514e+00 -2.6314e+00 -2.1514e+00 -1.1914e+00 -1.8140e-01
 -6.7140e-01  1.3686e+00  1.2386e+00  1.9786e+00 -3.0014e+00  1.8486e+00
  1.4686e+00  1.2986e+00  4.9860e-01 -1.5214e+00 -4.4114e+00 -5.1400e-02
 -1.6014e+00  2.5486e+00 -2.3314e+00  2.9886e+00  3.2586e+00  3.5186e+00
 -1.5514e+00 -2.1400e-02 -6.0140e-01 -1.3214e+00  3.3286e+00  3.5860e-01
 -4.6140e-01 -1.9114e+00  2.5686e+00  9.5860e-01  5.6986e+00  9.8786e+00
 -8.2140e-01 -2.5914e+00  3.5886e+00 -1.9314e+00  1.3886e+00  3.9860e-01
 -2.0814e+00  2.2860e-01  9.8600e-02 -3.1614e+00  1.2986e+00 -4.1140e-01
  2.1686e+00  3.6986e+00  1.0986e+00  1.4586e+00 -3.6140e-01 -2.7314e+00
 -1.3140e-01 -9.1400e-02 -3.0014e+00 -2.3514e+00 -1.2714e+00  2.5486e+00
  2.5686e+00 -1.5140e-01 -1.6214e+00 -1.5814e+00 -2.8114e+00 -2.3140e-01
 -1.4000e-03  2.1586e+00 -3.0314e+00 -3.5714e+00  4.6886e+00 -3.8514e+00
  7.4860e-01 -4.8414e+00 -3.5140e-01 -7.9140e-01 -7.5140e-01  1.0860e-01
  2.3986e+00  1.5586e+00 -4.2140e-01  1.3886e+00 -1.1400e-02 -1.7714e+00
  1.8600e-02  1.0886e+00  1.6486e+00  1.8786e+00  9.3860e-01 -2.3140e-01
  1.5486e+00  2.3860e-01  3.7286e+00 -2.9314e+00 -3.1114e+00 -4.0914e+00
  3.0486e+00 -7.9140e-01 -6.1400e-02 -2.8214e+00]"
Albatross Worldwide Equity Fund CHF,Fund of Funds,"(0, 0, 0)",464.83196023584446,"[-4.866e+00 -2.456e+00  1.084e+00 -6.000e-03  4.064e+00  8.440e-01
 -2.136e+00  4.174e+00 -9.360e-01  9.240e-01  6.640e-01  1.184e+00
 -1.716e+00 -2.176e+00 -1.446e+00 -6.026e+00 -3.406e+00  2.154e+00
 -1.766e+00 -1.556e+00  1.844e+00  1.654e+00  1.164e+00 -1.860e-01
 -2.176e+00  4.440e-01  6.740e-01  2.400e-02 -6.760e-01 -2.336e+00
 -4.360e-01 -1.916e+00  1.454e+00  9.400e-02  1.024e+00 -9.600e-02
  2.824e+00 -1.766e+00  3.284e+00 -9.160e-01  1.324e+00  1.224e+00
  1.524e+00  1.974e+00 -6.660e-01  2.884e+00 -5.526e+00 -4.926e+00
  5.240e-01  2.464e+00 -1.376e+00  3.214e+00  3.240e-01 -1.356e+00
  3.014e+00 -4.160e-01 -1.976e+00  4.994e+00  7.940e-01 -2.060e-01
  3.424e+00 -7.360e-01  2.404e+00 -2.926e+00 -4.846e+00  1.674e+00
  8.940e-01 -7.360e-01 -9.456e+00 -3.066e+00  2.404e+00 -1.406e+00
  2.434e+00 -3.766e+00  1.924e+00  2.540e-01  2.364e+00 -3.056e+00
  3.634e+00 -1.496e+00  1.104e+00  7.540e-01 -6.760e-01  1.524e+00
 -3.260e-01  6.340e-01  1.614e+00 -4.060e-01  1.574e+00  2.664e+00
  8.240e-01  1.004e+00  3.294e+00 -1.596e+00 -2.466e+00 -9.560e-01
  2.914e+00 -3.760e-01 -5.860e-01  1.174e+00]"
UMJ Kotoshiro Fund JPY,Hedge Fund,"(0, 0, 0)",465.792745782843,"[-2.0874 -4.1474 -2.6974 -2.2374 -1.4374 -0.2974 -0.8674  1.0726  1.0526
  2.0826 -3.4974  2.0026  1.2826  1.1026  0.2826 -1.6974 -4.5374 -0.1474
 -1.7374  2.4526 -2.4174  3.1526  3.3426  3.3926 -1.6274 -0.0374 -0.6774
 -1.3474  3.2226  0.5926 -0.2574 -1.6074  3.2026  0.9526  5.9926 10.2926
 -0.5374 -2.5974  3.5526 -1.6974  1.1426  0.5726 -1.8674  0.5426  0.0626
 -3.3774  1.3526 -0.3974  2.2426  3.6926  1.1526  1.4426 -0.2674 -2.5074
  0.5126  0.1626 -3.0174 -2.3774 -1.2874  2.4626  2.7726 -0.2174 -1.5474
 -1.5874 -2.8474 -0.2274  0.0826  2.0226 -3.0874 -3.5174  4.5826 -3.9674
  0.6826 -3.7074 -0.4074 -0.8474 -0.9174  0.0926  2.8426  1.5026 -0.5674
  1.3726 -0.0774 -1.8574 -0.0374  1.0526  1.5426  1.7926  0.8826 -0.3174
  1.4826  0.1526  3.5126 -2.9574 -3.2574 -4.3474  3.0526 -0.9174 -0.1974
 -3.0874]"
Optima Partners Focus Fund LLC (A),Fund of Funds,"(0, 0, 0)",467.15626794308616,"[-4.516e+00 -3.266e+00  2.040e-01 -3.476e+00  5.714e+00  1.414e+00
  2.240e-01  3.244e+00  1.940e-01  1.564e+00 -2.460e-01  1.434e+00
 -1.356e+00 -1.946e+00 -1.716e+00 -4.546e+00 -4.016e+00  2.784e+00
 -2.576e+00 -1.126e+00  3.434e+00  2.694e+00  9.540e-01 -1.666e+00
 -4.096e+00  2.540e-01 -8.660e-01  3.104e+00  1.514e+00 -7.600e-02
  9.140e-01  1.664e+00  6.614e+00  2.140e-01  3.094e+00  8.040e-01
  3.584e+00 -4.860e-01  9.640e-01 -1.466e+00  1.064e+00  2.034e+00
  1.634e+00  2.884e+00 -1.366e+00  2.994e+00 -3.926e+00 -3.636e+00
  3.164e+00  8.840e-01 -2.006e+00  1.624e+00 -1.636e+00 -2.226e+00
  2.864e+00  1.140e-01 -2.306e+00  3.994e+00 -6.000e-03 -2.506e+00
  2.194e+00 -1.106e+00 -4.060e-01 -4.956e+00 -7.366e+00  1.494e+00
  6.540e-01 -8.060e-01 -7.116e+00 -3.206e+00  2.640e-01 -3.960e-01
  1.624e+00 -9.660e-01  1.774e+00  4.540e-01  1.134e+00 -5.660e-01
  1.174e+00 -2.360e-01  2.794e+00  4.940e-01 -4.060e-01  1.394e+00
 -1.206e+00 -3.060e-01  2.094e+00  8.940e-01 -4.060e-01  1.394e+00
 -6.060e-01 -7.060e-01  3.294e+00 -3.106e+00 -1.306e+00  3.940e-01
  7.940e-01 -1.406e+00 -6.000e-03 -5.060e-01]"
"Pinnacle Opportunity, L.P.",Fund of Funds,"(0, 0, 0)",467.5603133112266,"[-2.450e+00 -1.800e+00 -8.000e-01  4.380e+00  2.350e+00  2.890e+00
 -3.100e-01  2.330e+00  1.200e-01  2.110e+00 -8.400e-01 -8.000e-02
 -2.640e+00 -2.340e+00  5.900e-01 -8.300e-01  1.440e+00 -4.300e-01
  2.010e+00  3.020e+00 -2.560e+00  3.000e-01  3.310e+00 -1.000e-02
 -1.560e+00 -2.770e+00 -5.000e-01  4.750e+00 -3.810e+00 -5.700e-01
  2.400e-01  1.090e+00 -8.400e-01  1.300e+00 -1.870e+00 -2.300e-01
  1.050e+00  9.000e-01  9.300e-01 -5.000e-01 -3.900e-01  6.600e-01
 -7.900e-01 -2.990e+00  3.800e+00  1.590e+00 -7.000e-02  5.520e+00
 -1.830e+00 -2.050e+00 -1.610e+00 -3.000e-02  1.250e+00  2.110e+00
  1.510e+00  1.228e+01  2.020e+00 -7.800e-01  2.800e-01 -2.190e+00
 -2.100e-01 -5.000e-01  1.450e+00  7.000e-02  7.300e-01  3.190e+00
  8.600e-01  1.400e+00  1.660e+00  1.210e+00 -3.560e+00 -3.020e+00
 -4.600e-01 -3.610e+00 -1.710e+00  3.400e-01  8.500e-01  1.510e+00
  1.390e+00  4.270e+00 -4.800e+00 -4.670e+00  1.620e+00  1.600e-01
 -3.060e+00 -9.000e-01 -8.000e-01  2.220e+00  2.280e+00 -5.400e-01
  2.120e+00  8.800e-01  2.560e+00 -4.290e+00  3.040e+00  3.570e+00
  2.970e+00  6.600e-01 -2.310e+00  2.110e+00]"
Albatross Worldwide Equity Fund USD,Fund of Funds,"(0, 0, 0)",470.90718091043044,"[-5.529 -2.169  1.251  0.111  4.251  0.831 -2.379  4.991 -1.129  1.151
  0.741  2.021 -1.659 -2.069 -0.859 -6.509 -3.629  2.011 -1.829 -1.609
  1.851  1.731  1.121 -0.309 -2.829  0.631  0.341  0.271 -0.529 -2.319
 -0.429 -1.879  1.511 -0.249  0.791  0.101  2.381 -1.689  3.611 -1.069
  1.841  1.101  1.481  2.261 -1.099  3.611 -5.699 -4.909  0.151  2.611
 -1.949  2.871 -0.659 -1.579  2.771 -1.269 -1.509  4.801  0.261  0.101
  3.461 -0.679  2.001 -2.829 -4.789  1.571  0.821 -0.549 -9.489 -3.229
  2.571 -1.399  2.341 -3.719  2.081  0.251  2.551 -3.129  3.511 -1.379
  1.321  0.761 -0.569  1.611 -0.049  0.811  1.621 -0.229  1.561  2.321
  0.921  1.251  3.771 -1.649 -2.289 -0.949  2.941 -0.229 -0.479  1.361]"
