fund_name,aic,shapiro_p,ljungbox_p,runs_p,pass_all
Albatross Arbitrage Opportunity Fund CHF,265.6723524586317,0.3400452398090913,0.4921208657400651,0.5464731290798559,True
Aurum Fortress Fund Ltd.,266.37093613914317,0.22698169157796572,0.8348487349108161,0.26104838073122183,True
Albatross Arbitrage Opportunity Fund EUR,268.07905688050863,0.7505093724702874,0.8984382021471725,0.5464731290798559,True
"Millennium International, Ltd.",269.4346940569504,0.5187324653365526,0.8194814287727454,0.8406846414712399,True
Signet Global Multi Strategy Fund Class GBP,271.8966318418984,0.12636056531406714,0.3758726277446779,0.6876577997456863,True
Lighthouse Diversified Fund Limited,271.9543298612909,0.14446063141612975,0.5937459677074161,0.15515397274963671,True
"Waterfall Eden Fund, L.P.",274.0838991310664,8.333103241935272e-09,0.39983257535117483,1.0,False
J.P. Morgan Multi-Strategy Fund II Ltd - Series CN (NZD),275.7841459626267,0.2114870046377212,0.6577025532916732,0.31485395233775604,True
"Black Diamond Arbitrage Partners, L.P. (Carlson)",275.88811655292085,0.000215478089448696,0.9670685448792825,0.10780396285509863,False
Lighthouse Multi-Strategy Fund LP Series C,276.010800440533,0.024923613446920387,0.6196147022063982,0.5423653206245738,False
Lighthouse Multi-Strategy Fund Ltd Class C,276.10338090229976,0.03233415998133695,0.6011670564715409,0.6876577997456863,False
DWS Euro-Bonds (Medium),276.11477855811074,0.01150749810289181,0.8989846483647521,0.5464731290798559,False
J.P. Morgan Multi-Strategy Fund II Ltd - Series CA (JPY),277.28128957258974,0.7624346853017978,0.4904814650065008,0.8406846414712399,True
Black Diamond Arbitrage Ltd.,277.7328012637625,0.00011856355689180197,0.952418510812714,0.2277762709715887,False
J.P. Morgan Multi-Strategy Fund II Ltd - Series CA (GBP),278.8470352368014,0.43270462923517455,0.6152328801188954,0.5464731290798559,True
Aurum Investor Standard Euro Restricted,278.9120341731631,0.10565953992541899,0.884897573258242,0.8390724840729129,True
Aurum Investor Standard Sterling Restricted,279.7125159813693,0.09612282409845192,0.9108169583277506,0.6876577997456863,True
"Arden Alternative Advisers, SPC USD",280.1434489647332,0.0058697226974649035,0.13874324403870764,0.2277762709715887,False
Aurum Investor Standard Dollar Restricted,280.5792964847191,0.09970084179055715,0.9433235007418683,0.6876577997456863,True
Absolute Return Multi-Strategy I LP,281.2714094342869,0.033497307419940246,0.6488370892504811,0.8406846414712399,False
Opus Diversified Fund LLC,281.5571351020411,0.05351869975994785,0.24204845415465123,0.15939040677403393,True
J.P. Morgan Multi-Strategy Fund II Ltd - Series B (USD),285.38889483544125,0.4067876693682077,0.5122327680588299,0.8406846414712399,True
J.P. Morgan Multi-Strategy Fund II Ltd - Series A (USD),286.52310819444637,0.4002209783578954,0.4839387499008798,0.8406846414712399,True
J.P. Morgan Multi-Strategy Fund II Ltd - Series B (GBP),287.302963683971,0.2944665158320474,0.6374413624063948,0.8406846414712399,True
Alternative Investment Partners Absolute Return Fund,290.3040843913833,0.13820147623038465,0.9789806349134946,0.5464731290798559,True
Alternative Investment Partners Absolute Return Fund STS,290.334490631377,0.045927212224050294,0.9674943967355626,0.008969049061947842,False
"IL Hedge Investments, LLC",294.78251130100597,0.0985457886061655,0.9774441736425201,0.31485395233775604,True
"Symphony Bravura 99 Fund, L.P.",295.7952239217716,0.39808244198468207,0.9764940795571454,0.68462500549865,True
Black Diamond Ltd.,298.3131400463165,0.905308630912813,0.9382804972753963,0.2277762709715887,True
"Black Diamond Partners, L.P.",298.56680130186766,0.889640450945092,0.9453978742408933,0.2277762709715887,True
Hatteras Core Alternatives TEI Institutional Fund L.P.,300.2244091608458,0.1307138742865735,0.5401610032774579,0.07042609327631655,True
Candriam Bonds Credit Opportunities I-EUR,300.35074531291565,0.00011390339913869921,0.2443969378195682,0.421355814012109,False
BPI Strategies -Vasco Da Gama Class B (USD),301.2641557815726,0.12315599003815514,0.5071540536365464,0.31485395233775604,True
Hatteras Core Alternatives Institutional Fund L.P.,302.562984832596,0.16116291565419222,0.5886203116797565,0.07042609327631655,True
BPI Strategies -Vasco Da Gama Class C (EUR),303.1291572943627,0.0575487163851803,0.49769302903168255,0.4166079797081017,True
Candriam Bonds Credit Opportunities C-EUR,303.94988195647585,0.00015371213444028025,0.19383494134703572,0.421355814012109,False
Sandler Offshore Fund Class (A-U),304.4580382637379,0.0008673965505297255,0.5350246705486931,0.47553786168685486,False
Sandler Associates (Class A-U),305.8729836731033,0.001404564996059488,0.5362453516040584,0.5407930053783456,False
"SSI Hedged Convertible Opportunity Fund, LP",305.9307621601036,0.019767300575269337,0.7024572855352913,0.8406846414712399,False
Hatteras Core Alternatives TEI Fund L.P.,307.27039924769707,0.21368737337913218,0.5616315732751931,0.027022267193961058,False
Hatteras Core Alternatives Fund L.P.,309.15534530494375,0.19001356363324118,0.5545184185353265,0.027022267193961058,False
"Atrevida Multi-Strategy Offshore Fund, LP",309.1680238741749,0.04183648234815778,0.7354419010310682,0.2277762709715887,False
"Atrevida Multi-Strategy Master Fund, L..P.",310.62091056414033,0.12542546653621361,0.8795741793197696,0.10780396285509863,True
WCM Merger Fund Ltd.,312.1942140391407,0.006976352015548592,0.45936017181537203,0.8390724840729129,False
GAM Diversity GBP Open,313.35986464863663,0.2436647129277809,0.710919436947968,0.6876577997456863,True
Weiss Multi-Strategy Partners LLC,315.57432123444016,0.005103461482607233,0.13460698670948798,0.6876577997456863,False
Edmond de Rothschild Prifund Alpha Uncorrelated (EUR) Cl. A,315.9304936386334,0.4391134692151368,0.9813473920155769,0.8406846414712399,True
Edmond de Rothschild Prifund Alpha Uncorrelated (USD) Cl. A,317.21870437905625,0.40311673890033384,0.8934160477337308,0.15939040677403393,True
Hurdle Fund,317.5343401121544,0.4552330962073662,0.7451826010702348,0.4166079797081017,True
Edmond de Rothschild Prifund Alpha Uncorrelated (EUR) Cl. B,317.70503058406626,0.45578185457621656,0.979393470166345,0.5464731290798559,True
DWS Eurorenta,318.6530281706426,0.49189871759943965,0.9788128733869894,0.31485395233775604,True
Hurdle EURO Feeder,318.8265861364247,0.18696099023529972,0.5004471171306734,0.47423690911626437,True
Hurdle GBP Feeder,319.7079346386175,0.08657860978388641,0.9826612124972157,0.5464731290798559,True
STS Master Fund Ltd. - Class I,320.1399630762949,2.5801487620050705e-06,0.26194419799775037,0.15939040677403393,False
GAM Diversity CHF Open,320.24854007558986,0.122863728934829,0.5969730882418862,0.421355814012109,True
Edmond de Rothschild Prifund Alpha Uncorrelated (USD) Cl. B,321.01958458937,0.35934055928011954,0.49454201887240123,0.07042609327631655,True
GAM Diversity EUR Open,321.2960744956585,0.09565376904007485,0.6140475655352137,0.6876577997456863,True
GAM Diversity SGD Open,321.6042998272954,0.09835554977397222,0.634975270117511,0.6876577997456863,True
GAM Diversity USD Open,322.9021914506071,0.082170545946407,0.6084304377169072,0.6876577997456863,True
OCCO Eastern European Fund (Ex -Ollo E.Euro Opportunities Fund),324.85543267491795,0.15087058296480665,0.45421776984606166,0.08286781252493669,True
Victoria Capital Dynamic European Fund Limited EUR,327.39891762492306,0.0034405544308203466,0.3744010843750443,0.04441233364526065,False
"Bodleian Partners B, L.P.",328.23130819057013,0.327470152184278,0.45738816670277904,0.6876577997456863,True
Victoria Capital Dynamic European Fund Limited GBP,328.7149013123576,0.0012821104652760865,0.5222399203413219,0.004889127239612545,False
Victoria Capital Dynamic European Fund Limited USD,330.39183788338283,4.0793921718664365e-05,0.206572355386924,0.421355814012109,False
Gems Recovery Portfolio EUR,331.9015004460806,0.10649385452272331,0.9936072664601406,0.6876577997456863,True
"Bodleian Partners A, L.P.",332.1421507599449,0.40621234367031744,0.4477400515046782,0.6876577997456863,True
A.R.T. Absolute Return Target Fund F Equity Strategy (USD),332.8122506871497,0.0016366111709488799,0.8090608094945082,0.2277762709715887,False
Gems Recovery Portfolio USD,333.2951503870153,0.13045285976087562,0.998149070359373,1.0,True
"Ventura Capital Partners, LLC",333.4133692868036,2.113135148525095e-06,0.8744541349315058,0.5464731290798559,False
EnTrustPermal Fixed Income Holdings N.V. USD A,336.1586631533568,0.40847292851235495,0.9523521123511565,0.10780396285509863,True
"Lighthouse Credit Opportunities Fund, Ltd. Class B",337.69899189371597,0.07580942337493099,0.6299267748768443,0.31485395233775604,True
EnTrustPermal Macro Holdings Ltd. EUR A,338.48539534658215,0.13745564469492055,0.8356136899020038,0.6876577997456863,True
GAM Trading II - CHF Open,341.2698952693891,0.4117744975511508,0.9294390106728859,0.6876577997456863,True
"Lighthouse Credit Opportunities Fund, LP Class B",342.3694334687903,0.0616062319570198,0.9358509899090415,0.5464731290798559,True
"Alternative Investments Institutional, Ltd.",344.32466259398456,0.12507649661917858,0.91582400399024,0.027022267193961058,False
Lighthouse Global Long/Short Fund L.P,345.3930110842126,0.007730959422344696,0.40464453047288385,0.2277762709715887,False
Lighthouse Global Long/Short Fund Ltd.,345.4833175340475,0.009708912592077432,0.4142162327826757,0.2277762709715887,False
"PSAM WorldArb Partners, L.P.",345.6461946929585,0.1956887791706985,0.9081968942400491,1.0,True
PSAM WorldArb Fund Limited,345.71340376991367,0.20534565888219114,0.8987910274924689,1.0,True
"Alternative Investments Institutional, L.P.",346.31562658256007,0.12344612094136398,0.9201469467886175,0.027022267193961058,False
