fund_name,levene_pvalue,is_homoscedastic,box_cox_lambda,transformation_applied
Pine Grove Offshore Fund Ltd. Class C Shares,0.5399193725866009,True,,False
"Pine Grove Partners, L.P. - Class C",0.4986615836219638,True,,False
"Pinnacle Natural Resources, L.P.",0.9970017437076014,True,,False
"Pinnacle Opportunity, L.P.",0.390748032532671,True,,False
R Opal Europe Equity C  EUR,0.7408942560993601,True,,False
R Opal Global Equity Class C EUR,0.21808455045201156,True,,False
R Opal Global Equity Class F EUR,0.20082142216438442,True,,False
Signet Global Multi Strategy Fund Class GBP,0.6627492004292093,True,,False
Silvercrest Emerging Markets Fund,0.27873378164152646,True,,False
Silvercrest Hedged Equity Fund,0.6148124784903424,True,,False
TAS Fixed Income Arbitrage - Class H (USD),0.04925151149776144,False,0.7303203773462127,True
TAS Global Macro - Class A (USD),0.9735128183337337,True,,False
TAS Global Macro - Class B (EUR),0.8789546156883407,True,,False
TAS Global Macro - Class G (EUR),0.8727664874945239,True,,False
TAS Global Macro - Class H (USD),0.9679038613298782,True,,False
Black Ant Value Fund Limited Class C,0.0012624186468549417,False,0.8978308038903146,True
Black Diamond Arbitrage Ltd.,0.653151165718898,True,,False
"Black Diamond Arbitrage Partners, L.P. (Carlson)",0.46462442156173034,True,,False
Black Diamond Ltd.,0.07680620374762748,True,,False
"Black Diamond Partners, L.P.",0.08160416559040393,True,,False
Black Diamond Relative Value Ltd. (Carlson),0.2829189079450467,True,,False
"Black Diamond Relative Value Partners, L.P. (Carlson)",0.3039869447876995,True,,False
Candriam Bonds Credit Opportunities C-EUR,0.0007237395524727104,False,0.7111745131311262,True
Candriam Bonds Credit Opportunities I-EUR,0.0010691572723795647,False,0.6988573824471109,True
Candriam Bonds Euro High Yield (C),0.0020224286242420376,False,0.7626371426952105,True
Candriam Bonds Euro High Yield (I),0.002759143462535574,False,0.7583265044323784,True
Candriam Bonds Euro High Yield (N),0.0020147193319779485,False,0.7626019323444496,True
Candriam Bonds Global High Yield (C),0.07663613801054296,True,,False
Candriam Bonds Global High Yield (I),0.10631677621506867,True,,False
Candriam Bonds Global High Yield (N),0.07847627002874989,True,,False
"Compass Technology Partners II, L.P.",0.14970031916210547,True,,False
Deutsche Invest I Africa FC,0.14168063085564045,True,,False
Deutsche Invest I Africa GBP RD,0.27266225849342135,True,,False
Deutsche Invest I Africa LC,0.13540158278999592,True,,False
Deutsche Invest I Africa LD,0.12898078391179826,True,,False
Deutsche Invest I Africa NC,0.1412095856777099,True,,False
Deutsche Invest I Asian Small/Mid Cap FC,0.5098708315305318,True,,False
Deutsche Invest I Asian Small/Mid Cap LC,0.5090864398873942,True,,False
Deutsche Invest I Asian Small/Mid Cap LD,0.5137817781771031,True,,False
Deutsche Invest I Asian Small/Mid Cap LS,0.48721843614569893,True,,False
Deutsche Invest I Asian Small/Mid Cap NC,0.46655436493591906,True,,False
Deutsche Invest I Asian Small/Mid Cap USD FC,0.17596659783502802,True,,False
Deutsche Invest I Asian Small/Mid Cap USD LC,0.18062458975212273,True,,False
DWS Euro-Bonds (Long),0.19276799730799477,True,,False
DWS Euro-Bonds (Medium),0.028855197008424618,False,0.8145362064038139,True
DWS Eurorenta,0.3850084728480694,True,,False
DWS Global Agribusiness A2 SGD,0.17234777674046256,True,,False
DWS Global Agribusiness A2 USD,0.04888526126071627,False,0.8154088768267779,True
DWS Global Agribusiness E2,0.049054936820563146,False,0.8154291577191166,True
DWS Global Agribusiness FC,0.8118676140897882,True,,False
DWS Global Agribusiness LC,0.8055983999543018,True,,False
DWS Global Value LD,0.6140650368724647,True,,False
East Capital (Lux) Emerging Asia Fund Class P EUR,0.7673159885877332,True,,False
East Capital (LUX) Russian Fund - Class A EUR,0.9791485437207261,True,,False
East Capital (LUX) Russian Fund - Class A SEK,0.9222044004552747,True,,False
East Capital (LUX) Russian Fund - Class A USD,0.4621736125618725,True,,False
East Capital (LUX) Russian Fund - Class C EUR,0.876647879783191,True,,False
East Capital (LUX) Russian Fund - Class C USD,0.3723847142533684,True,,False
Falcon Point Long/Short Fund,0.05630534112374613,True,,False
Falcon Point Long/Short Qualified Fund,0.05859161122199594,True,,False
Falcon Point Long/Short Tax Exempt Fund,0.0477079801994341,False,0.6621537289915337,True
